"CellType","marker"
"epithelial cell","RUVBL1"
"epithelial cell","TPGS2"
"epithelial cell","HIPK1"
"epithelial cell","HSPBP1"
"epithelial cell","FAM104B"
"epithelial cell","DALRD3"
"epithelial cell","GCLM"
"epithelial cell","CCDC34"
"epithelial cell","CYB561"
"epithelial cell","UBAC1"
"epithelial cell","SMYD2"
"epithelial cell","SLC35A3"
"epithelial cell","SPATA33"
"epithelial cell","B9D2"
"epithelial cell","PTRH1"
"epithelial cell","MYCBP"
"epithelial cell","HAGHL"
"epithelial cell","DUSP18"
"epithelial cell","PPOX"
"epithelial cell","ANKRD54"
"epithelial cell","RHPN1"
"epithelial cell","ZNHIT2"
"epithelial cell","ZDHHC13"
"epithelial cell","LZTFL1"
"epithelial cell","SMPD2"
"epithelial cell","CEP41"
"epithelial cell","MCAT"
"epithelial cell","ZNF440"
"epithelial cell","LRG1"
"epithelial cell","PWWP2B"
"epithelial cell","UNC119B"
"epithelial cell","FBXW9"
"epithelial cell","SMKR1"
"epithelial cell","WDR90"
"epithelial cell","STPG1"
"epithelial cell","ALG1L"
"epithelial cell","C10orf95"
"epithelial cell","BEST4"
"epithelial cell","KCNH3"
"epithelial cell","KLHL32"
"epithelial cell","NEK11"
"epithelial cell","TJP2"
"epithelial cell","ANKMY1"
"epithelial cell","KIAA1841"
"epithelial cell","CCDC180"
"epithelial cell","MORN1"
"epithelial cell","PRRG2"
"epithelial cell","CNIH2"
"epithelial cell","GRIP1"
"epithelial cell","ZFHX2"
"epithelial cell","CXXC4"
"epithelial cell","IQCH"
"epithelial cell","LINC00240"
"epithelial cell","TPPP"
"epithelial cell","ZNF20"
"epithelial cell","RNF32"
"epithelial cell","MUC20"
"epithelial cell","KIAA0895"
"epithelial cell","IRX5"
"epithelial cell","CNTD1"
"epithelial cell","ANKEF1"
"epithelial cell","NUP62CL"
"epithelial cell","MAP7"
"epithelial cell","ANKFN1"
"epithelial cell","TOX3"
"epithelial cell","SRCIN1"
"epithelial cell","PCLO"
"epithelial cell","CNKSR1"
"epithelial cell","LEKR1"
"epithelial cell","SPIRE2"
"epithelial cell","PNMA2"
"epithelial cell","WDR31"
"epithelial cell","LRRIQ3"
"epithelial cell","TTC30A"
"epithelial cell","SAMD15"
"epithelial cell","BMPR1B"
"epithelial cell","MEX3A"
"epithelial cell","PPL"
"epithelial cell","MARVELD3"
"epithelial cell","CDK20"
"epithelial cell","ARMC2"
"epithelial cell","RPGRIP1L"
"epithelial cell","MAGI1"
"epithelial cell","LARP6"
"epithelial cell","KCTD1"
"epithelial cell","LRP5"
"epithelial cell","HOOK1"
"epithelial cell","NEBL"
"epithelial cell","ATP9A"
"epithelial cell","CDC14B"
"epithelial cell","DDAH1"
"epithelial cell","GNG12"
"epithelial cell","IFT81"
"epithelial cell","TOM1L1"
"epithelial cell","CLHC1"
"epithelial cell","TPST1"
"epithelial cell","SLC22A23"
"epithelial cell","DLG5"
"epithelial cell","PARVA"
"epithelial cell","DCBLD2"
"epithelial cell","ARMC9"
"epithelial cell","WDR19"
"epithelial cell","SPATA7"
"epithelial cell","MUC12"
"epithelial cell","ACOT11"
"epithelial cell","ITGB8"
"epithelial cell","CDC42BPA"
"epithelial cell","LIMCH1"
"epithelial cell","FARP1"
"epithelial cell","MAPRE3"
"epithelial cell","TTC12"
"epithelial cell","JAG2"
"epithelial cell","ANKRD23"
"epithelial cell","DNAH1"
"epithelial cell","ELMO3"
"epithelial cell","HOXD1"
"epithelial cell","PCYT1B"
"epithelial cell","BCL2L15"
"epithelial cell","IGSF9"
"epithelial cell","IQCC"
"epithelial cell","GOLGA6L10"
"epithelial cell","CKMT1B"
"epithelial cell","ARHGEF5"
"epithelial cell","LRRC36"
"epithelial cell","AKR1C2"
"epithelial cell","SH3BGRL2"
"epithelial cell","RANBP17"
"epithelial cell","MYO1B"
"epithelial cell","OCLN"
"epithelial cell","AHNAK2"
"epithelial cell","RNF150"
"epithelial cell","CX3CL1"
"epithelial cell","SFTPD"
"epithelial cell","SLC4A8"
"epithelial cell","CMBL"
"epithelial cell","KIF27"
"epithelial cell","C14orf132"
"epithelial cell","GAS8"
"epithelial cell","CACNB3"
"epithelial cell","STK36"
"epithelial cell","ARHGAP32"
"epithelial cell","NBEA"
"epithelial cell","RARRES1"
"epithelial cell","RND3"
"epithelial cell","PTPRK"
"epithelial cell","MAP1A"
"epithelial cell","TNS1"
"epithelial cell","TSPAN15"
"epithelial cell","CXADR"
"epithelial cell","IGF1R"
"epithelial cell","TCF7L2"
"epithelial cell","SPATA6"
"epithelial cell","ERBB3"
"epithelial cell","NRP2"
"epithelial cell","NELL2"
"epithelial cell","PTGR1"
"epithelial cell","DUOX1"
"epithelial cell","FNBP1L"
"epithelial cell","ST14"
"epithelial cell","AGRN"
"epithelial cell","BCO2"
"epithelial cell","MAP1B"
"epithelial cell","SDC1"
"epithelial cell","PKIB"
"epithelial cell","NCKAP1"
"epithelial cell","EPS8"
"epithelial cell","B3GNT5"
"epithelial cell","CDC42EP1"
"epithelial cell","SLC25A29"
"epithelial cell","NAPSA"
"epithelial cell","KCNJ2"
"epithelial cell","RLN2"
"epithelial cell","POLQ"
"epithelial cell","PROCA1"
"epithelial cell","NPM2"
"epithelial cell","FAM161B"
"epithelial cell","DUSP19"
"epithelial cell","GOLGA6L9"
"epithelial cell","ZFP3"
"epithelial cell","ZNF396"
"epithelial cell","CDKL2"
"epithelial cell","PCSK4"
"epithelial cell","KIF24"
"epithelial cell","BBS5"
"epithelial cell","PANX2"
"epithelial cell","HMGN3-AS1"
"epithelial cell","SPATA24"
"epithelial cell","TMEM178B"
"epithelial cell","KIAA0556"
"epithelial cell","TENM2"
"epithelial cell","FBXL13"
"epithelial cell","SDCBP2"
"epithelial cell","KATNAL2"
"epithelial cell","ZC2HC1C"
"epithelial cell","GLB1L"
"epithelial cell","CASZ1"
"epithelial cell","IPO11"
"epithelial cell","DNAJC12"
"epithelial cell","STAP2"
"epithelial cell","RBFOX2"
"epithelial cell","HES6"
"epithelial cell","SYNPO2"
"epithelial cell","ICA1L"
"epithelial cell","MIPEP"
"epithelial cell","FBXO2"
"epithelial cell","ITGA3"
"epithelial cell","ABCC3"
"epithelial cell","PBX1"
"epithelial cell","GDF15"
"epithelial cell","CBY1"
"epithelial cell","CRABP2"
"epithelial cell","METRN"
"epithelial cell","CTTN"
"epithelial cell","RBM47"
"epithelial cell","NFIA"
"epithelial cell","SPINT1"
"epithelial cell","PPP1R16A"
"epithelial cell","IGFBP5"
"epithelial cell","RARRES2"
"epithelial cell","SERPING1"
"epithelial cell","TMEM176A"
"epithelial cell","MGLL"
"epithelial cell","GOLM1"
"epithelial cell","LXN"
"epithelial cell","NEDD4L"
"epithelial cell","MAP9"
"fibroblast","PTGDS"
"fibroblast","FOS"
"fibroblast","JUN"
"fibroblast","HSPA1A"
"fibroblast","JUNB"
"fibroblast","HSPA1B"
"fibroblast","DNAJB1"
"fibroblast","DUSP1"
"fibroblast","IGFBP5"
"fibroblast","ITM2B"
"fibroblast","CFD"
"fibroblast","GSN"
"fibroblast","IGFBP4"
"fibroblast","HSP90AB1"
"fibroblast","FBLN1"
"fibroblast","EGR1"
"fibroblast","ID3"
"fibroblast","IER2"
"fibroblast","HSPA8"
"fibroblast","SERPINF1"
"fibroblast","IFITM1"
"fibroblast","ZFP36L1"
"fibroblast","PTN"
"fibroblast","IGFBP6"
"fibroblast","SERPING1"
"fibroblast","SQSTM1"
"fibroblast","DNAJA1"
"fibroblast","BST2"
"fibroblast","MMP2"
"fibroblast","KLF4"
"fibroblast","MFAP4"
"fibroblast","GEM"
"fibroblast","IGF1"
"fibroblast","LTBP4"
"fibroblast","CTSK"
"fibroblast","RASD1"
"fibroblast","CRISPLD2"
"fibroblast","PLTP"
"fibroblast","PGRMC1"
"fibroblast","DKK3"
"fibroblast","AKAP12"
"fibroblast","NFIC"
"fibroblast","SSPN"
"fibroblast","CRTAP"
"fibroblast","FBLN2"
"fibroblast","CLEC11A"
"fibroblast","OLFML3"
"fibroblast","RCN1"
"fibroblast","MAFF"
"fibroblast","FGF7"
"fibroblast","SERINC1"
"fibroblast","CTSF"
"fibroblast","RCN3"
"fibroblast","CYBRD1"
"fibroblast","LEPR"
"fibroblast","MFAP2"
"fibroblast","ELN"
"fibroblast","FGFR1"
"fibroblast","ECM1"
"fibroblast","PEMT"
"fibroblast","ECHDC2"
"fibroblast","APCDD1"
"fibroblast","BDH2"
"fibroblast","MMP23B"
"fibroblast","ARL4D"
"fibroblast","TSKU"
"fibroblast","CTSO"
"fibroblast","SMPDL3A"
"fibroblast","PLAGL1"
"fibroblast","TMEM119"
"fibroblast","PODNL1"
"fibroblast","TCEAL2"
"fibroblast","NUDT10"
"fibroblast","SAMD11"
"fibroblast","ZFP36"
"fibroblast","RHOB"
"fibroblast","BGN"
"fibroblast","PMP22"
"fibroblast","FOSB"
"fibroblast","LAPTM4A"
"fibroblast","COL6A2"
"fibroblast","GADD45B"
"fibroblast","RAMP2"
"fibroblast","NR4A1"
"fibroblast","PPP1R15A"
"fibroblast","PLEKHA5"
"fibroblast","COL6A1"
"fibroblast","CNTN1"
"fibroblast","CCNI"
"fibroblast","CD99"
"fibroblast","PID1"
"fibroblast","PCOLCE"
"fibroblast","WSB1"
"fibroblast","HNRNPA2B1"
"fibroblast","ATF3"
"fibroblast","C12orf57"
"fibroblast","SERPINH1"
"fibroblast","MFGE8"
"fibroblast","RARRES1"
"fibroblast","PRNP"
"fibroblast","CNBP"
"fibroblast","TIMP2"
"fibroblast","CXCL12"
"fibroblast","KDELR1"
"fibroblast","MXRA8"
"fibroblast","CYB5R3"
"fibroblast","PAM"
"fibroblast","EIF5"
"fibroblast","BAG3"
"fibroblast","BRD2"
"fibroblast","ZYX"
"fibroblast","MATN2"
"fibroblast","HSPB6"
"fibroblast","PTPN13"
"fibroblast","DNAJB4"
"fibroblast","DDIT3"
"fibroblast","EFEMP2"
"fibroblast","CDH11"
"fibroblast","TSPAN4"
"fibroblast","FHL2"
"fibroblast","PPP1CC"
"fibroblast","RAB34"
"fibroblast","PDLIM3"
"fibroblast","FXYD6"
"fibroblast","TUSC3"
"fibroblast","EMD"
"fibroblast","VAT1"
"fibroblast","ZNF503"
"fibroblast","ADH5"
"fibroblast","NR2F1"
"fibroblast","GINM1"
"fibroblast","GPC6"
"fibroblast","NME2"
"fibroblast","TCEAL7"
"fibroblast","RNF24"
"fibroblast","SORBS3"
"fibroblast","KANK2"
"fibroblast","NGRN"
"fibroblast","PLXDC1"
"fibroblast","VASN"
"fibroblast","LTBP2"
"fibroblast","SNAI1"
"fibroblast","LIX1L"
"fibroblast","LARP6"
"fibroblast","FAIM2"
"fibroblast","NT5E"
"fibroblast","VSTM4"
"fibroblast","GSTM2"
"fibroblast","DNM1"
"fibroblast","SOX15"
"fibroblast","SEMA3D"
"fibroblast","C8orf88"
"fibroblast","CNTFR"
"fibroblast","NUDT11"
"fibroblast","HSD11B2"
"fibroblast","IGFBP7"
"fibroblast","COL1A2"
"fibroblast","ZBTB20"
"fibroblast","ACTA2"
"fibroblast","CALD1"
"fibroblast","GPM6B"
"fibroblast","TPM2"
"fibroblast","RARRES2"
"fibroblast","FXYD1"
"fibroblast","ID1"
"fibroblast","GATA2"
"fibroblast","IGF2"
"fibroblast","AEBP1"
"fibroblast","CSRP1"
"fibroblast","MEG3"
"fibroblast","EPHX1"
"fibroblast","SCN7A"
"fibroblast","EMILIN1"
"fibroblast","C1QTNF1"
"fibroblast","ACVRL1"
"fibroblast","LPAR1"
"fibroblast","SLIT2"
"fibroblast","CDO1"
"fibroblast","HMGCLL1"
"fibroblast","IL13RA2"
"fibroblast","SPARC"
"fibroblast","LSAMP"
"fibroblast","TIMP3"
"fibroblast","A2M"
"fibroblast","SMOC1"
"fibroblast","FSTL1"
"fibroblast","COL18A1"
"fibroblast","SERTAD1"
"fibroblast","PDGFRB"
"fibroblast","RHOBTB3"
"fibroblast","PALLD"
"fibroblast","ANTXR1"
"fibroblast","LDB2"
"fibroblast","GSTM3"
"fibroblast","SFRP1"
"fibroblast","TPST1"
"fibroblast","PGF"
"fibroblast","TMEM204"
"fibroblast","KLF9"
"fibroblast","JAG1"
"fibroblast","OAT"
"fibroblast","CERCAM"
"fibroblast","SOCS2"
"fibroblast","ARHGAP10"
"fibroblast","SLC22A17"
"fibroblast","NDN"
"fibroblast","AKR1C1"
"fibroblast","FKBP7"
"fibroblast","KCNJ8"
"fibroblast","FLRT2"
"fibroblast","DACH1"
"fibroblast","PRR16"
"fibroblast","ZDHHC1"
"fibroblast","PRSS12"
"fibroblast","ROR2"
"fibroblast","COL1A1"
"fibroblast","TAGLN"
"fibroblast","MAPK10"
"fibroblast","MGST1"
"fibroblast","CKB"
"fibroblast","RNF150"
"fibroblast","NTRK3"
"fibroblast","LRP1"
"fibroblast","RND3"
"fibroblast","PHLDB1"
"fibroblast","DDR2"
"fibroblast","ITGA8"
"fibroblast","CCDC181"
"fibroblast","RPRM"
"fibroblast","CRYAB"
"fibroblast","LGALS3BP"
"fibroblast","CPE"
"fibroblast","TMEM98"
"fibroblast","PRICKLE2"
"fibroblast","SMAD9"
"fibroblast","GLRB"
"fibroblast","TNNC1"
"fibroblast","C1QTNF2"
"fibroblast","PTGFR"
"fibroblast","MDK"
"fibroblast","ADIRF"
"fibroblast","TSC22D1"
"fibroblast","MAP1B"
"fibroblast","EMP2"
"fibroblast","MYLK"
"fibroblast","MEIS2"
"fibroblast","MTUS1"
"fibroblast","SGCE"
"fibroblast","THSD7A"
"fibroblast","RBPMS"
"fibroblast","FKBP10"
"fibroblast","SLC25A27"
"fibroblast","FGF2"
"fibroblast","ZNF423"
"fibroblast","BMP7"
"fibroblast","RYR2"
"fibroblast","HHIP-AS1"
"fibroblast","SLC16A2"
"fibroblast","CLU"
"fibroblast","NFIA"
"fibroblast","CNN3"
"fibroblast","FAM13C"
"fibroblast","PDZRN3"
"fibroblast","CACNA2D1"
"fibroblast","SGIP1"
"fibroblast","CSRNP3"
"fibroblast","CNRIP1"
"fibroblast","MPDZ"
"fibroblast","RUNX1T1"
"fibroblast","SYNPO2"
"fibroblast","FGF13"
"fibroblast","ARHGEF25"
"fibroblast","RAI2"
"fibroblast","SERPINE2"
"fibroblast","TEAD1"
"fibroblast","PKIG"
"fibroblast","SGCD"
"fibroblast","PDE5A"
"fibroblast","RBMS3"
"fibroblast","WASF3"
"fibroblast","DZIP1"
"fibroblast","BICC1"
"fibroblast","GFPT2"
"fibroblast","DLL1"
"fibroblast","CAP2"
"fibroblast","PTGES"
"fibroblast","TMEM37"
"fibroblast","ALDH1A1"
"fibroblast","HLF"
"fibroblast","NES"
"fibroblast","FRMD6"
"fibroblast","TSHZ3"
"fibroblast","CST3"
"fibroblast","PTPRG"
"fibroblast","SEMA5A"
"fibroblast","IGFBP2"
"fibroblast","MAOB"
"fibroblast","FBN1"
"fibroblast","PDGFC"
"fibroblast","AMOTL1"
"fibroblast","SMARCA1"
"fibroblast","RAB23"
"fibroblast","HSP90AA1"
"fibroblast","HSPD1"
"fibroblast","CIRBP"
"fibroblast","HSPH1"
"fibroblast","GABARAP"
"fibroblast","GRINA"
"fibroblast","SLC38A2"
"fibroblast","MTCH1"
"fibroblast","MPHOSPH8"
"fibroblast","SERINC3"
"fibroblast","GADD45G"
"fibroblast","PPP1R10"
"fibroblast","TMX4"
"fibroblast","RRAGA"
"fibroblast","GLA"
"fibroblast","CALCOCO2"
"fibroblast","TMBIM1"
"fibroblast","FAM114A1"
"fibroblast","SNHG12"
"fibroblast","HBP1"
"fibroblast","LOXL1"
"fibroblast","TMEM106B"
"fibroblast","WASL"
"fibroblast","THUMPD1"
"fibroblast","GNPTG"
"fibroblast","TMEM43"
"fibroblast","CCNB1IP1"
"fibroblast","SERTAD3"
"fibroblast","CDKN2AIP"
"fibroblast","ANTXR2"
"fibroblast","HMGN4"
"fibroblast","G6PC3"
"fibroblast","FBXO2"
"fibroblast","ENC1"
"fibroblast","SPTLC1"
"fibroblast","ARMCX2"
"fibroblast","FAM8A1"
"fibroblast","C1RL"
"fibroblast","PTGFRN"
"fibroblast","B3GNT9"
"fibroblast","GPRASP1"
"fibroblast","ELOVL4"
"fibroblast","DACT1"
"fibroblast","PHYHIP"
"fibroblast","WNT4"
"fibroblast","MGARP"
"fibroblast","TCF12"
"fibroblast","EGR2"
"fibroblast","CHST7"
"fibroblast","SLC19A2"
"fibroblast","SSTR2"
"fibroblast","RNF152"
"fibroblast","IRS1"
"fibroblast","NFATC4"
"fibroblast","RGS5"
"fibroblast","C5orf49"
"fibroblast","UNC5C"
"fibroblast","GREB1"
"fibroblast","ZNF483"
"fibroblast","CDC42EP2"
"fibroblast","CLIP3"
"fibroblast","HOOK1"
"fibroblast","ADCY5"
"fibroblast","RGS4"
"fibroblast","FAT4"
"fibroblast","NAALAD2"
"fibroblast","GPNMB"
"fibroblast","CRABP2"
"fibroblast","ATRNL1"
"fibroblast","ROBO2"
"fibroblast","SMOC2"
"fibroblast","FAM171B"
"fibroblast","PEBP4"
"fibroblast","TUB"
"fibroblast","ADAMTSL2"
"fibroblast","SRRM3"
"fibroblast","RAMP2-AS1"
"fibroblast","DCLK1"
"fibroblast","SERPINE1"
"fibroblast","STK33"
"fibroblast","KCNT2"
"fibroblast","ADAM22"
"fibroblast","PYGO1"
"fibroblast","HSPB8"
"fibroblast","ZNF385D"
"fibroblast","RGS11"
"fibroblast","CYTL1"
"fibroblast","LIFR-AS1"
"fibroblast","ME1"
"fibroblast","CYB5R2"
"fibroblast","SERTAD4"
"fibroblast","STON1"
"fibroblast","ETNK2"
"fibroblast","NAP1L3"
"fibroblast","TRO"
"fibroblast","RNF212"
"fibroblast","THAP10"
"fibroblast","CX3CL1"
"fibroblast","C14orf132"
"fibroblast","MEIS1"
"fibroblast","FRZB"
"fibroblast","SPOCK1"
"fibroblast","ID4"
"fibroblast","LAMA4"
"fibroblast","DYNC2H1"
"fibroblast","PLCB4"
"fibroblast","PTCH1"
"fibroblast","LRP6"
"fibroblast","SYT1"
"fibroblast","ADAMTS4"
"fibroblast","LRRC49"
"fibroblast","SNED1"
"fibroblast","MMP19"
"fibroblast","TSPAN9"
"fibroblast","SLC16A4"
"fibroblast","COL7A1"
"fibroblast","C1QTNF4"
"fibroblast","FERMT2"
"fibroblast","COL16A1"
"fibroblast","TGFB1I1"
"fibroblast","GNG12"
"fibroblast","PARVA"
"fibroblast","PCDH9"
"fibroblast","DPYSL3"
"fibroblast","SDC2"
"fibroblast","DIXDC1"
"fibroblast","SLC8A1"
"fibroblast","CDC42BPA"
"fibroblast","ALDH7A1"
"fibroblast","LIMCH1"
"fibroblast","PTGS2"
"fibroblast","TNS1"
"fibroblast","CPVL"
"fibroblast","C11orf96"
"fibroblast","TJP1"
"fibroblast","MMP14"
"fibroblast","CYP27A1"
"fibroblast","MCC"
"fibroblast","SHISA4"
"fibroblast","P4HA2"
"fibroblast","CH25H"
"fibroblast","ZNF575"
"fibroblast","PTH1R"
"fibroblast","ZNF540"
"fibroblast","ZDHHC15"
"fibroblast","DZIP1L"
"fibroblast","RAB3IL1"
"fibroblast","GPRASP2"
"fibroblast","TCEAL5"
"fibroblast","DYNC1I1"
"fibroblast","CLDN11"
"fibroblast","CCL2"
"fibroblast","ANK2"
"fibroblast","CYGB"
"fibroblast","CCDC74A"
"fibroblast","CMBL"
"fibroblast","TMEM150C"
"fibroblast","SYNM"
"fibroblast","KITLG"
"fibroblast","NLGN2"
"fibroblast","PEX11A"
"fibroblast","PTGER3"
"fibroblast","THY1"
"fibroblast","GSTA4"
"fibroblast","RBFOX2"
"fibroblast","CSRP2"
"fibroblast","PTPRK"
"fibroblast","NFIB"
"fibroblast","TMEM176A"
"fibroblast","FSTL3"
"fibroblast","FILIP1L"
"fibroblast","CAMK2N1"
"fibroblast","PPFIBP1"
"fibroblast","PKD2"
"fibroblast","PTGR1"
"fibroblast","FKBP9"
"fibroblast","FN3K"
"fibroblast","PDLIM4"
"fibroblast","PDK4"
"fibroblast","FBXL12"
"fibroblast","ARSK"
"fibroblast","ZNF410"
"fibroblast","GET4"
"fibroblast","BSCL2"
"fibroblast","RWDD3"
"fibroblast","C3orf33"
"fibroblast","LCMT2"
"fibroblast","TMSB15B"
"fibroblast","ZNF582-AS1"
"fibroblast","ZFP28"
"fibroblast","NPR2"
"fibroblast","SLC45A1"
"fibroblast","CBLN3"
"fibroblast","ZCWPW2"
"fibroblast","ZNF662"
"fibroblast","FAM169A"
"fibroblast","TNFRSF10D"
"fibroblast","ZNF490"
"fibroblast","CCDC74B"
"fibroblast","ZNF365"
"fibroblast","APLF"
"fibroblast","FGFBP3"
"fibroblast","ZNF287"
"fibroblast","ZFP37"
"fibroblast","STRADA"
"fibroblast","DTX1"
"fibroblast","SALL2"
"fibroblast","PAM16"
"fibroblast","ZNF286A"
"fibroblast","SH3BP5-AS1"
"fibroblast","ANKRD33B"
"fibroblast","ZNF354C"
"fibroblast","ZNF597"
"fibroblast","AMACR"
"fibroblast","ZNF610"
"fibroblast","HYKK"
"fibroblast","ANO5"
"fibroblast","ZNF460"
"fibroblast","SOBP"
"fibroblast","PCDH7"
"fibroblast","NLGN4X"
"fibroblast","SCRG1"
"fibroblast","NEXN"
"fibroblast","KIF5C"
"fibroblast","PAK3"
"fibroblast","WDR86"
"fibroblast","SLC9B2"
"fibroblast","CHGB"
"fibroblast","CTH"
"fibroblast","CYP51A1"
"fibroblast","PORCN"
"fibroblast","ZNF519"
"fibroblast","TEAD3"
"fibroblast","PRTFDC1"
"fibroblast","FBLIM1"
"fibroblast","ROBO1"
"fibroblast","JAM3"
"fibroblast","UCHL1"
"fibroblast","PCSK5"
"fibroblast","ZDHHC9"
"fibroblast","PBX1"
"fibroblast","GDF15"
"fibroblast","ADM"
"fibroblast","PFN2"
"fibroblast","NDRG2"
"fibroblast","MAFB"
"fibroblast","PLXDC2"
"fibroblast","EMP1"
"fibroblast","PPP1R14A"
"fibroblast","THBS1"
"fibroblast","GAS6"
"fibroblast","RAMP1"
"fibroblast","MGLL"
"fibroblast","ST3GAL4"
"glial cell","VIM"
"glial cell","S100B"
"glial cell","LGALS1"
"glial cell","IFITM3"
"glial cell","IFI27"
"glial cell","IFI6"
"glial cell","CRYAB"
"glial cell","QKI"
"glial cell","ISG15"
"glial cell","GPM6B"
"glial cell","MDK"
"glial cell","PMP22"
"glial cell","MPZ"
"glial cell","LY6E"
"glial cell","LGALS3BP"
"glial cell","FXYD1"
"glial cell","MBP"
"glial cell","CNN3"
"glial cell","RPS27L"
"glial cell","ITGB8"
"glial cell","LRRC4C"
"glial cell","CTNNAL1"
"glial cell","ARHGAP15"
"glial cell","TSC22D4"
"glial cell","NRXN3"
"glial cell","GAP43"
"glial cell","PDLIM4"
"glial cell","CNP"
"glial cell","GATM"
"glial cell","NDRG2"
"glial cell","BLOC1S1"
"glial cell","COMT"
"glial cell","FIGN"
"glial cell","IFI44L"
"glial cell","GABARAPL2"
"glial cell","IFIT3"
"glial cell","POLR2F"
"glial cell","CNPY2"
"glial cell","SNCA"
"glial cell","PLAT"
"glial cell","RCAN1"
"glial cell","SCN7A"
"glial cell","IFIT1"
"glial cell","TBCB"
"glial cell","EHBP1"
"glial cell","FSTL3"
"glial cell","CADM4"
"glial cell","SGCE"
"glial cell","IFI35"
"glial cell","XKR4"
"glial cell","KCNMB4"
"glial cell","TOM1L2"
"glial cell","SCCPDH"
"glial cell","DHRS3"
"glial cell","ERBB3"
"glial cell","NGFR"
"glial cell","FEZ1"
"glial cell","PLEKHA4"
"glial cell","ST6GALNAC2"
"glial cell","PROS1"
"glial cell","SECISBP2L"
"glial cell","PLLP"
"glial cell","C1orf198"
"glial cell","ST3GAL4"
"glial cell","PHLDA3"
"glial cell","TSPAN15"
"glial cell","DAG1"
"glial cell","GAS7"
"glial cell","GPR155"
"glial cell","TMOD2"
"glial cell","CAB39L"
"glial cell","RDH10"
"glial cell","L1CAM"
"glial cell","FLRT3"
"glial cell","PCBP4"
"glial cell","PGM1"
"glial cell","AATK"
"glial cell","TMEM140"
"glial cell","DNAJB2"
"glial cell","MICALL2"
"glial cell","ARHGAP12"
"glial cell","SHISA4"
"glial cell","HSPA12A"
"glial cell","TMEM59L"
"glial cell","SDC3"
"glial cell","GPC1"
"glial cell","GAS2L3"
"glial cell","TXNRD2"
"glial cell","ADAM23"
"glial cell","WDR86"
"glial cell","POU3F1"
"glial cell","MMP17"
"glial cell","BMP8B"
"glial cell","S100A10"
"glial cell","ANXA2"
"glial cell","LGALS3"
"glial cell","RARRES2"
"glial cell","NCAM1"
"glial cell","NTM"
"glial cell","DMD"
"glial cell","TMEM258"
"glial cell","AP1S2"
"glial cell","TMEM176B"
"glial cell","RHOC"
"glial cell","VAMP5"
"glial cell","MARCKS"
"glial cell","ALDH1A1"
"glial cell","RDX"
"glial cell","EMP2"
"glial cell","PRNP"
"glial cell","CADM1"
"glial cell","PGRMC1"
"glial cell","TUBB2B"
"glial cell","PON2"
"glial cell","PDZD2"
"glial cell","MATN2"
"glial cell","TAX1BP3"
"glial cell","MAL"
"glial cell","ITGA6"
"glial cell","NLGN4X"
"glial cell","METRN"
"glial cell","GTF2H5"
"glial cell","IFI44"
"glial cell","ZNF536"
"glial cell","PLEKHB1"
"glial cell","SYT11"
"glial cell","UXS1"
"glial cell","MOCS2"
"glial cell","LPL"
"glial cell","SLC22A17"
"glial cell","ENDOD1"
"glial cell","SLC15A3"
"glial cell","ITPK1"
"glial cell","NAPEPLD"
"glial cell","RTKN"
"glial cell","MARVELD1"
"glial cell","HSPB2"
"glial cell","ADCY6"
"glial cell","PAQR6"
"glial cell","B2M"
"glial cell","S100A6"
"glial cell","CADM2"
"glial cell","PSAP"
"glial cell","CALM2"
"glial cell","CD9"
"glial cell","CD59"
"glial cell","DST"
"glial cell","PTN"
"glial cell","PRSS23"
"glial cell","GPNMB"
"glial cell","TMEM176A"
"glial cell","LTBP4"
"glial cell","CSRP1"
"glial cell","ZNF706"
"glial cell","MEG3"
"glial cell","MXRA8"
"glial cell","HCFC1R1"
"glial cell","IFI27L2"
"glial cell","CLIC4"
"glial cell","RHEB"
"glial cell","SCD"
"glial cell","IFIT2"
"glial cell","ARL2"
"glial cell","LAMA4"
"glial cell","DDIT3"
"glial cell","PMEPA1"
"glial cell","CBR1"
"glial cell","ZNF428"
"glial cell","KHDRBS3"
"glial cell","TLE1"
"glial cell","JOSD2"
"glial cell","SMIM7"
"glial cell","SYNGR1"
"glial cell","FNTA"
"glial cell","TCEAL7"
"glial cell","APLP1"
"glial cell","MAP3K11"
"glial cell","CNKSR3"
"glial cell","SPHK1"
"glial cell","SCG5"
"glial cell","SEZ6L2"
"glial cell","AFAP1L2"
"glial cell","FRMD6"
"glial cell","SCN9A"
"glial cell","ITGA7"
"glial cell","EPDR1"
"glial cell","RGS11"
"glial cell","NLGN3"
"glial cell","CAHM"
"glial cell","HOXC8"
"glial cell","COL1A2"
"glial cell","SPARC"
"glial cell","C1QB"
"glial cell","C1QC"
"glial cell","FRMD5"
"glial cell","IGFBP6"
"glial cell","DKK3"
"glial cell","ADAMTS9"
"glial cell","LAMC1"
"glial cell","LINC00632"
"glial cell","OAF"
"glial cell","DAB1"
"glial cell","LPAR1"
"glial cell","CDH6"
"glial cell","C1QA"
"glial cell","CLU"
"glial cell","ANXA1"
"glial cell","IGFBP4"
"glial cell","ID3"
"glial cell","TIMP3"
"glial cell","COL6A2"
"glial cell","SERPINE2"
"glial cell","RASSF4"
"glial cell","MAGI1"
"glial cell","FAM229B"
"glial cell","EFEMP2"
"glial cell","EMILIN1"
"glial cell","ZNF503"
"glial cell","LAMB1"
"glial cell","COL16A1"
"glial cell","SLIT2"
